cell_or_check,pass
Q3_运输架次!R8C5,True
Q3_运输架次!R8C6,True
Q3_运输架次!R8C7,True
Q3_运输架次!R8C8,True
Q3_运输架次/row9_no_extra_fields,True
Q3_运输架次!R9C1,True
Q3_运输架次!R9C2,True
Q3_运输架次!R9C3,True
Q3_运输架次!R9C4,True
Q3_运输架次!R9C5,True
Q3_运输架次!R9C6,True
Q3_运输架次!R9C7,True
Q3_运输架次!R9C8,True
Q3_运输架次/row10_no_extra_fields,True
Q3_运输架次!R10C1,True
Q3_运输架次!R10C2,True
Q3_运输架次!R10C3,True
Q3_运输架次!R10C4,True
Q3_运输架次!R10C5,True
Q3_运输架次!R10C6,True
Q3_运输架次!R10C7,True
Q3_运输架次!R10C8,True
Q3_运输架次/row11_no_extra_fields,True
Q3_运输架次!R11C1,True
Q3_运输架次!R11C2,True
Q3_运输架次!R11C3,True
Q3_运输架次!R11C4,True
Q3_运输架次!R11C5,True
Q3_运输架次!R11C6,True
Q3_运输架次!R11C7,True
Q3_运输架次!R11C8,True
Q3_运输架次/row12_no_extra_fields,True
Q3_运输架次!R12C1,True
Q3_运输架次!R12C2,True
Q3_运输架次!R12C3,True
Q3_运输架次!R12C4,True
Q3_运输架次!R12C5,True
Q3_运输架次!R12C6,True
Q3_运输架次!R12C7,True
Q3_运输架次!R12C8,True
Q3_运输架次/row13_no_extra_fields,True
Q3_运输架次!R13C1,True
Q3_运输架次!R13C2,True
Q3_运输架次!R13C3,True
Q3_运输架次!R13C4,True
Q3_运输架次!R13C5,True
Q3_运输架次!R13C6,True
Q3_运输架次!R13C7,True
Q3_运输架次!R13C8,True
Q3_运输架次/row14_no_extra_fields,True
Q3_运输架次!R14C1,True
Q3_运输架次!R14C2,True
Q3_运输架次!R14C3,True
Q3_运输架次!R14C4,True
Q3_运输架次!R14C5,True
Q3_运输架次!R14C6,True
Q3_运输架次!R14C7,True
Q3_运输架次!R14C8,True
Q3_运输架次/row15_no_extra_fields,True
Q3_运输架次!R15C1,True
Q3_运输架次!R15C2,True
Q3_运输架次!R15C3,True
Q3_运输架次!R15C4,True
Q3_运输架次!R15C5,True
Q3_运输架次!R15C6,True
Q3_运输架次!R15C7,True
Q3_运输架次!R15C8,True
Q3_运输架次/row16_no_extra_fields,True
Q3_运输架次!R16C1,True
Q3_运输架次!R16C2,True
Q3_运输架次!R16C3,True
Q3_运输架次!R16C4,True
Q3_运输架次!R16C5,True
Q3_运输架次!R16C6,True
Q3_运输架次!R16C7,True
Q3_运输架次!R16C8,True
Q3_运输架次/row17_no_extra_fields,True
Q3_运输架次!R17C1,True
Q3_运输架次!R17C2,True
Q3_运输架次!R17C3,True
Q3_运输架次!R17C4,True
Q3_运输架次!R17C5,True
Q3_运输架次!R17C6,True
Q3_运输架次!R17C7,True
Q3_运输架次!R17C8,True
Q3_运输架次/row18_no_extra_fields,True
Q3_运输架次!R18C1,True
Q3_运输架次!R18C2,True
Q3_运输架次!R18C3,True
Q3_运输架次!R18C4,True
Q3_运输架次!R18C5,True
Q3_运输架次!R18C6,True
Q3_运输架次!R18C7,True
Q3_运输架次!R18C8,True
Q3_运输架次/row19_no_extra_fields,True
Q3_运输架次!R19C1,True
Q3_运输架次!R19C2,True
Q3_运输架次!R19C3,True
Q3_运输架次!R19C4,True
Q3_运输架次!R19C5,True
Q3_运输架次!R19C6,True
Q3_运输架次!R19C7,True
Q3_运输架次!R19C8,True
Q3_运输架次/row20_no_extra_fields,True
Q3_运输架次!R20C1,True
Q3_运输架次!R20C2,True
Q3_运输架次!R20C3,True
Q3_运输架次!R20C4,True
Q3_运输架次!R20C5,True
Q3_运输架次!R20C6,True
Q3_运输架次!R20C7,True
Q3_运输架次!R20C8,True
Q3_运输架次/row21_no_extra_fields,True
Q3_运输架次!R21C1,True
Q3_运输架次!R21C2,True
Q3_运输架次!R21C3,True
Q3_运输架次!R21C4,True
Q3_运输架次!R21C5,True
Q3_运输架次!R21C6,True
Q3_运输架次!R21C7,True
Q3_运输架次!R21C8,True
Q3_运输架次/row22_no_extra_fields,True
Q3_运输架次!R22C1,True
Q3_运输架次!R22C2,True
Q3_运输架次!R22C3,True
Q3_运输架次!R22C4,True
Q3_运输架次!R22C5,True
Q3_运输架次!R22C6,True
Q3_运输架次!R22C7,True
Q3_运输架次!R22C8,True
Q3_运输架次/row23_no_extra_fields,True
Q3_运输架次!R23C1,True
Q3_运输架次!R23C2,True
Q3_运输架次!R23C3,True
Q3_运输架次!R23C4,True
Q3_运输架次!R23C5,True
Q3_运输架次!R23C6,True
Q3_运输架次!R23C7,True
Q3_运输架次!R23C8,True
Q3_运输架次/row24_no_extra_fields,True
Q3_运输架次!R24C1,True
Q3_运输架次!R24C2,True
Q3_运输架次!R24C3,True
Q3_运输架次!R24C4,True
Q3_运输架次!R24C5,True
Q3_运输架次!R24C6,True
Q3_运输架次!R24C7,True
Q3_运输架次!R24C8,True
Q3_运输架次/row25_no_extra_fields,True
Q3_运输架次!R25C1,True
Q3_运输架次!R25C2,True
Q3_运输架次!R25C3,True
Q3_运输架次!R25C4,True
Q3_运输架次!R25C5,True
Q3_运输架次!R25C6,True
Q3_运输架次!R25C7,True
Q3_运输架次!R25C8,True
Q3_运输架次/row26_no_extra_fields,True
Q3_运输架次!R26C1,True
Q3_运输架次!R26C2,True
Q3_运输架次!R26C3,True
Q3_运输架次!R26C4,True
Q3_运输架次!R26C5,True
Q3_运输架次!R26C6,True
Q3_运输架次!R26C7,True
Q3_运输架次!R26C8,True
Q3_逐箱交付/record_count,True
Q3_逐箱交付/row1_no_extra_fields,True
Q3_逐箱交付!R1C1,True
Q3_逐箱交付!R1C2,True
Q3_逐箱交付!R1C3,True
Q3_逐箱交付!R1C4,True
Q3_逐箱交付/row2_no_extra_fields,True
Q3_逐箱交付!R2C1,True
Q3_逐箱交付!R2C2,True
Q3_逐箱交付!R2C3,True
Q3_逐箱交付!R2C4,True
Q3_逐箱交付/row3_no_extra_fields,True
Q3_逐箱交付!R3C1,True
Q3_逐箱交付!R3C2,True
Q3_逐箱交付!R3C3,True
Q3_逐箱交付!R3C4,True
Q3_逐箱交付/row4_no_extra_fields,True
Q3_逐箱交付!R4C1,True
Q3_逐箱交付!R4C2,True
Q3_逐箱交付!R4C3,True
Q3_逐箱交付!R4C4,True
Q3_逐箱交付/row5_no_extra_fields,True
Q3_逐箱交付!R5C1,True
Q3_逐箱交付!R5C2,True
Q3_逐箱交付!R5C3,True
Q3_逐箱交付!R5C4,True
Q3_逐箱交付/row6_no_extra_fields,True
Q3_逐箱交付!R6C1,True
Q3_逐箱交付!R6C2,True
Q3_逐箱交付!R6C3,True
Q3_逐箱交付!R6C4,True
Q3_逐箱交付/row7_no_extra_fields,True
Q3_逐箱交付!R7C1,True
Q3_逐箱交付!R7C2,True
Q3_逐箱交付!R7C3,True
Q3_逐箱交付!R7C4,True
Q3_逐箱交付/row8_no_extra_fields,True
Q3_逐箱交付!R8C1,True
Q3_逐箱交付!R8C2,True
Q3_逐箱交付!R8C3,True
Q3_逐箱交付!R8C4,True
Q3_逐箱交付/row9_no_extra_fields,True
Q3_逐箱交付!R9C1,True
Q3_逐箱交付!R9C2,True
Q3_逐箱交付!R9C3,True
Q3_逐箱交付!R9C4,True
Q3_逐箱交付/row10_no_extra_fields,True
Q3_逐箱交付!R10C1,True
Q3_逐箱交付!R10C2,True
Q3_逐箱交付!R10C3,True
Q3_逐箱交付!R10C4,True
Q3_逐箱交付/row11_no_extra_fields,True
Q3_逐箱交付!R11C1,True
Q3_逐箱交付!R11C2,True
Q3_逐箱交付!R11C3,True
Q3_逐箱交付!R11C4,True
Q3_逐箱交付/row12_no_extra_fields,True
Q3_逐箱交付!R12C1,True
Q3_逐箱交付!R12C2,True
Q3_逐箱交付!R12C3,True
Q3_逐箱交付!R12C4,True
Q3_逐箱交付/row13_no_extra_fields,True
Q3_逐箱交付!R13C1,True
Q3_逐箱交付!R13C2,True
Q3_逐箱交付!R13C3,True
Q3_逐箱交付!R13C4,True
Q3_逐箱交付/row14_no_extra_fields,True
Q3_逐箱交付!R14C1,True
Q3_逐箱交付!R14C2,True
Q3_逐箱交付!R14C3,True
Q3_逐箱交付!R14C4,True
Q3_逐箱交付/row15_no_extra_fields,True
Q3_逐箱交付!R15C1,True
Q3_逐箱交付!R15C2,True
Q3_逐箱交付!R15C3,True
Q3_逐箱交付!R15C4,True
Q3_逐箱交付/row16_no_extra_fields,True
Q3_逐箱交付!R16C1,True
Q3_逐箱交付!R16C2,True
Q3_逐箱交付!R16C3,True
Q3_逐箱交付!R16C4,True
Q3_逐箱交付/row17_no_extra_fields,True
Q3_逐箱交付!R17C1,True
Q3_逐箱交付!R17C2,True
Q3_逐箱交付!R17C3,True
Q3_逐箱交付!R17C4,True
Q3_逐箱交付/row18_no_extra_fields,True
Q3_逐箱交付!R18C1,True
Q3_逐箱交付!R18C2,True
Q3_逐箱交付!R18C3,True
Q3_逐箱交付!R18C4,True
Q3_逐箱交付/row19_no_extra_fields,True
Q3_逐箱交付!R19C1,True
Q3_逐箱交付!R19C2,True
Q3_逐箱交付!R19C3,True
Q3_逐箱交付!R19C4,True
Q3_逐箱交付/row20_no_extra_fields,True
Q3_逐箱交付!R20C1,True
Q3_逐箱交付!R20C2,True
Q3_逐箱交付!R20C3,True
Q3_逐箱交付!R20C4,True
Q3_逐箱交付/row21_no_extra_fields,True
Q3_逐箱交付!R21C1,True
Q3_逐箱交付!R21C2,True
Q3_逐箱交付!R21C3,True
Q3_逐箱交付!R21C4,True
Q3_逐箱交付/row22_no_extra_fields,True
Q3_逐箱交付!R22C1,True
Q3_逐箱交付!R22C2,True
Q3_逐箱交付!R22C3,True
Q3_逐箱交付!R22C4,True
Q3_逐箱交付/row23_no_extra_fields,True
Q3_逐箱交付!R23C1,True
Q3_逐箱交付!R23C2,True
Q3_逐箱交付!R23C3,True
Q3_逐箱交付!R23C4,True
Q3_逐箱交付/row24_no_extra_fields,True
Q3_逐箱交付!R24C1,True
Q3_逐箱交付!R24C2,True
Q3_逐箱交付!R24C3,True
Q3_逐箱交付!R24C4,True
Q3_逐箱交付/row25_no_extra_fields,True
Q3_逐箱交付!R25C1,True
Q3_逐箱交付!R25C2,True
Q3_逐箱交付!R25C3,True
Q3_逐箱交付!R25C4,True
Q3_逐箱交付/row26_no_extra_fields,True
Q3_逐箱交付!R26C1,True
Q3_逐箱交付!R26C2,True
Q3_逐箱交付!R26C3,True
Q3_逐箱交付!R26C4,True
Q3_逐箱交付/row27_no_extra_fields,True
Q3_逐箱交付!R27C1,True
Q3_逐箱交付!R27C2,True
Q3_逐箱交付!R27C3,True
Q3_逐箱交付!R27C4,True
Q3_逐箱交付/row28_no_extra_fields,True
Q3_逐箱交付!R28C1,True
Q3_逐箱交付!R28C2,True
Q3_逐箱交付!R28C3,True
Q3_逐箱交付!R28C4,True
Q3_逐箱交付/row29_no_extra_fields,True
Q3_逐箱交付!R29C1,True
Q3_逐箱交付!R29C2,True
Q3_逐箱交付!R29C3,True
Q3_逐箱交付!R29C4,True
Q3_逐箱交付/row30_no_extra_fields,True
Q3_逐箱交付!R30C1,True
Q3_逐箱交付!R30C2,True
Q3_逐箱交付!R30C3,True
Q3_逐箱交付!R30C4,True
Q3_逐箱交付/row31_no_extra_fields,True
Q3_逐箱交付!R31C1,True
Q3_逐箱交付!R31C2,True
Q3_逐箱交付!R31C3,True
Q3_逐箱交付!R31C4,True
Q3_逐箱交付/row32_no_extra_fields,True
Q3_逐箱交付!R32C1,True
Q3_逐箱交付!R32C2,True
Q3_逐箱交付!R32C3,True
Q3_逐箱交付!R32C4,True
Q3_逐箱交付/row33_no_extra_fields,True
Q3_逐箱交付!R33C1,True
Q3_逐箱交付!R33C2,True
Q3_逐箱交付!R33C3,True
Q3_逐箱交付!R33C4,True
Q3_逐箱交付/row34_no_extra_fields,True
Q3_逐箱交付!R34C1,True
Q3_逐箱交付!R34C2,True
Q3_逐箱交付!R34C3,True
Q3_逐箱交付!R34C4,True
Q3_逐箱交付/row35_no_extra_fields,True
Q3_逐箱交付!R35C1,True
Q3_逐箱交付!R35C2,True
Q3_逐箱交付!R35C3,True
Q3_逐箱交付!R35C4,True
Q3_逐箱交付/row36_no_extra_fields,True
Q3_逐箱交付!R36C1,True
Q3_逐箱交付!R36C2,True
Q3_逐箱交付!R36C3,True
Q3_逐箱交付!R36C4,True
Q3_逐箱交付/row37_no_extra_fields,True
Q3_逐箱交付!R37C1,True
Q3_逐箱交付!R37C2,True
Q3_逐箱交付!R37C3,True
Q3_逐箱交付!R37C4,True
Q3_逐箱交付/row38_no_extra_fields,True
Q3_逐箱交付!R38C1,True
Q3_逐箱交付!R38C2,True
Q3_逐箱交付!R38C3,True
Q3_逐箱交付!R38C4,True
Q3_逐箱交付/row39_no_extra_fields,True
Q3_逐箱交付!R39C1,True
Q3_逐箱交付!R39C2,True
Q3_逐箱交付!R39C3,True
Q3_逐箱交付!R39C4,True
Q3_逐箱交付/row40_no_extra_fields,True
Q3_逐箱交付!R40C1,True
Q3_逐箱交付!R40C2,True
Q3_逐箱交付!R40C3,True
Q3_逐箱交付!R40C4,True
Q3_逐箱交付/row41_no_extra_fields,True
Q3_逐箱交付!R41C1,True
Q3_逐箱交付!R41C2,True
Q3_逐箱交付!R41C3,True
Q3_逐箱交付!R41C4,True
Q3_逐箱交付/row42_no_extra_fields,True
Q3_逐箱交付!R42C1,True
Q3_逐箱交付!R42C2,True
Q3_逐箱交付!R42C3,True
Q3_逐箱交付!R42C4,True
Q3_逐箱交付/row43_no_extra_fields,True
Q3_逐箱交付!R43C1,True
Q3_逐箱交付!R43C2,True
Q3_逐箱交付!R43C3,True
Q3_逐箱交付!R43C4,True
Q3_逐箱交付/row44_no_extra_fields,True
Q3_逐箱交付!R44C1,True
Q3_逐箱交付!R44C2,True
Q3_逐箱交付!R44C3,True
Q3_逐箱交付!R44C4,True
Q3_逐箱交付/row45_no_extra_fields,True
Q3_逐箱交付!R45C1,True
Q3_逐箱交付!R45C2,True
Q3_逐箱交付!R45C3,True
Q3_逐箱交付!R45C4,True
Q3_逐箱交付/row46_no_extra_fields,True
Q3_逐箱交付!R46C1,True
Q3_逐箱交付!R46C2,True
Q3_逐箱交付!R46C3,True
Q3_逐箱交付!R46C4,True
Q3_逐箱交付/row47_no_extra_fields,True
Q3_逐箱交付!R47C1,True
Q3_逐箱交付!R47C2,True
Q3_逐箱交付!R47C3,True
Q3_逐箱交付!R47C4,True
Q3_逐箱交付/row48_no_extra_fields,True
Q3_逐箱交付!R48C1,True
Q3_逐箱交付!R48C2,True
Q3_逐箱交付!R48C3,True
Q3_逐箱交付!R48C4,True
Q3_逐箱交付/row49_no_extra_fields,True
Q3_逐箱交付!R49C1,True
Q3_逐箱交付!R49C2,True
Q3_逐箱交付!R49C3,True
Q3_逐箱交付!R49C4,True
Q3_逐箱交付/row50_no_extra_fields,True
Q3_逐箱交付!R50C1,True
Q3_逐箱交付!R50C2,True
Q3_逐箱交付!R50C3,True
Q3_逐箱交付!R50C4,True
Q3_逐箱交付/row51_no_extra_fields,True
Q3_逐箱交付!R51C1,True
Q3_逐箱交付!R51C2,True
Q3_逐箱交付!R51C3,True
Q3_逐箱交付!R51C4,True
Q3_逐箱交付/row52_no_extra_fields,True
Q3_逐箱交付!R52C1,True
Q3_逐箱交付!R52C2,True
Q3_逐箱交付!R52C3,True
Q3_逐箱交付!R52C4,True
Q3_逐箱交付/row53_no_extra_fields,True
Q3_逐箱交付!R53C1,True
Q3_逐箱交付!R53C2,True
Q3_逐箱交付!R53C3,True
Q3_逐箱交付!R53C4,True
Q3_逐箱交付/row54_no_extra_fields,True
Q3_逐箱交付!R54C1,True
Q3_逐箱交付!R54C2,True
Q3_逐箱交付!R54C3,True
Q3_逐箱交付!R54C4,True
Q3_逐箱交付/row55_no_extra_fields,True
Q3_逐箱交付!R55C1,True
Q3_逐箱交付!R55C2,True
Q3_逐箱交付!R55C3,True
Q3_逐箱交付!R55C4,True
Q3_逐箱交付/row56_no_extra_fields,True
Q3_逐箱交付!R56C1,True
Q3_逐箱交付!R56C2,True
Q3_逐箱交付!R56C3,True
Q3_逐箱交付!R56C4,True
Q3_逐箱交付/row57_no_extra_fields,True
Q3_逐箱交付!R57C1,True
Q3_逐箱交付!R57C2,True
Q3_逐箱交付!R57C3,True
Q3_逐箱交付!R57C4,True
Q3_逐箱交付/row58_no_extra_fields,True
Q3_逐箱交付!R58C1,True
Q3_逐箱交付!R58C2,True
Q3_逐箱交付!R58C3,True
Q3_逐箱交付!R58C4,True
Q3_逐箱交付/row59_no_extra_fields,True
Q3_逐箱交付!R59C1,True
Q3_逐箱交付!R59C2,True
Q3_逐箱交付!R59C3,True
Q3_逐箱交付!R59C4,True
Q3_逐箱交付/row60_no_extra_fields,True
Q3_逐箱交付!R60C1,True
Q3_逐箱交付!R60C2,True
Q3_逐箱交付!R60C3,True
Q3_逐箱交付!R60C4,True
Q3_逐箱交付/row61_no_extra_fields,True
Q3_逐箱交付!R61C1,True
Q3_逐箱交付!R61C2,True
Q3_逐箱交付!R61C3,True
Q3_逐箱交付!R61C4,True
Q3_逐箱交付/row62_no_extra_fields,True
Q3_逐箱交付!R62C1,True
Q3_逐箱交付!R62C2,True
Q3_逐箱交付!R62C3,True
Q3_逐箱交付!R62C4,True
Q3_逐箱交付/row63_no_extra_fields,True
Q3_逐箱交付!R63C1,True
Q3_逐箱交付!R63C2,True
Q3_逐箱交付!R63C3,True
Q3_逐箱交付!R63C4,True
Q3_逐箱交付/row64_no_extra_fields,True
Q3_逐箱交付!R64C1,True
Q3_逐箱交付!R64C2,True
Q3_逐箱交付!R64C3,True
Q3_逐箱交付!R64C4,True
Q3_逐箱交付/row65_no_extra_fields,True
Q3_逐箱交付!R65C1,True
Q3_逐箱交付!R65C2,True
Q3_逐箱交付!R65C3,True
Q3_逐箱交付!R65C4,True
Q3_逐箱交付/row66_no_extra_fields,True
Q3_逐箱交付!R66C1,True
Q3_逐箱交付!R66C2,True
Q3_逐箱交付!R66C3,True
Q3_逐箱交付!R66C4,True
Q3_逐箱交付/row67_no_extra_fields,True
Q3_逐箱交付!R67C1,True
Q3_逐箱交付!R67C2,True
Q3_逐箱交付!R67C3,True
Q3_逐箱交付!R67C4,True
Q3_逐箱交付/row68_no_extra_fields,True
Q3_逐箱交付!R68C1,True
Q3_逐箱交付!R68C2,True
Q3_逐箱交付!R68C3,True
Q3_逐箱交付!R68C4,True
Q3_逐箱交付/row69_no_extra_fields,True
Q3_逐箱交付!R69C1,True
Q3_逐箱交付!R69C2,True
Q3_逐箱交付!R69C3,True
Q3_逐箱交付!R69C4,True
Q3_逐箱交付/row70_no_extra_fields,True
Q3_逐箱交付!R70C1,True
Q3_逐箱交付!R70C2,True
Q3_逐箱交付!R70C3,True
Q3_逐箱交付!R70C4,True
Q3_逐箱交付/row71_no_extra_fields,True
Q3_逐箱交付!R71C1,True
Q3_逐箱交付!R71C2,True
Q3_逐箱交付!R71C3,True
Q3_逐箱交付!R71C4,True
Q3_逐箱交付/row72_no_extra_fields,True
Q3_逐箱交付!R72C1,True
Q3_逐箱交付!R72C2,True
Q3_逐箱交付!R72C3,True
Q3_逐箱交付!R72C4,True
Q3_逐箱交付/row73_no_extra_fields,True
Q3_逐箱交付!R73C1,True
Q3_逐箱交付!R73C2,True
Q3_逐箱交付!R73C3,True
Q3_逐箱交付!R73C4,True
Q3_逐箱交付/row74_no_extra_fields,True
Q3_逐箱交付!R74C1,True
Q3_逐箱交付!R74C2,True
Q3_逐箱交付!R74C3,True
Q3_逐箱交付!R74C4,True
Q3_逐箱交付/row75_no_extra_fields,True
Q3_逐箱交付!R75C1,True
Q3_逐箱交付!R75C2,True
Q3_逐箱交付!R75C3,True
Q3_逐箱交付!R75C4,True
Q3_逐箱交付/row76_no_extra_fields,True
Q3_逐箱交付!R76C1,True
Q3_逐箱交付!R76C2,True
Q3_逐箱交付!R76C3,True
Q3_逐箱交付!R76C4,True
Q3_逐箱交付/row77_no_extra_fields,True
Q3_逐箱交付!R77C1,True
Q3_逐箱交付!R77C2,True
Q3_逐箱交付!R77C3,True
Q3_逐箱交付!R77C4,True
Q3_逐箱交付/row78_no_extra_fields,True
Q3_逐箱交付!R78C1,True
Q3_逐箱交付!R78C2,True
Q3_逐箱交付!R78C3,True
Q3_逐箱交付!R78C4,True
Q3_逐箱交付/row79_no_extra_fields,True
Q3_逐箱交付!R79C1,True
Q3_逐箱交付!R79C2,True
Q3_逐箱交付!R79C3,True
Q3_逐箱交付!R79C4,True
Q3_逐箱交付/row80_no_extra_fields,True
Q3_逐箱交付!R80C1,True
Q3_逐箱交付!R80C2,True
Q3_逐箱交付!R80C3,True
Q3_逐箱交付!R80C4,True
Q3_逐箱交付/row81_no_extra_fields,True
Q3_逐箱交付!R81C1,True
Q3_逐箱交付!R81C2,True
Q3_逐箱交付!R81C3,True
Q3_逐箱交付!R81C4,True
