图号,中文图题,PDF,PNG,SVG,数据源,绘图数据,解释,PDF_SHA256,本论文选用,Overleaf路径
F011,数据核查：题定节点海拔与DEM像元差异,figures/F011.pdf,figures/F011.png,figures/F011.svg,results/quality/node_dem_comparison.csv,plot_data/F011.json,当前主方案的诊断视图；柱高由源表聚合,e48052c92b55dca1332f79f94ee7c02ceb1b19ac0dd6d2c5974030a6b7d5ef73,否,figures/F011.pdf
F012,数据核查：全部货箱按服务区分布,figures/F012.pdf,figures/F012.png,figures/F012.svg,data/cleaned/boxes.csv;results/q1/service_summary.csv,plot_data/F012.json,当前主方案的诊断视图；柱高由源表聚合,9adb8dc64f404bd7a95a1ef26b663a4facba067cb2630527514172103a4f8b32,是,figures/F012.pdf
F013,第一问：O01至S001沿线地形与净空,figures/F013.pdf,figures/F013.png,figures/F013.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F013.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,0ba5a4ddc044cbc082d07ebd0ab56b810377ca1cb03a6cedb95f039010e0ea69,否,figures/F013.pdf
F014,第一问：S001载荷—能量可行边界,figures/F014.pdf,figures/F014.png,figures/F014.svg,results/closure/energy_curves_S001.csv,plot_data/F014.json,基于明确能耗假设的确定性曲线，不是额外现场实验,f79ff35cd9711bbf38b9b93da41edf77c43101731b5c8354b34b57fc4ee8de21,否,figures/F014.pdf
F015,第一问：O01至S002沿线地形与净空,figures/F015.pdf,figures/F015.png,figures/F015.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F015.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,55e26cca165b6ff23cf38bd0cfde0f9262ea0555d40b7df0b60cd399dca773d6,否,figures/F015.pdf
F016,第一问：S002载荷—能量可行边界,figures/F016.pdf,figures/F016.png,figures/F016.svg,results/closure/energy_curves_S002.csv,plot_data/F016.json,基于明确能耗假设的确定性曲线，不是额外现场实验,34b35e7d2a9feed45b00bd1ec86566c90aa6aaada2de6b68264cc249ac2f4606,否,figures/F016.pdf
F017,第一问：O01至S003沿线地形与净空,figures/F017.pdf,figures/F017.png,figures/F017.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F017.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,f90e0780ba6c62746b80d0ee52ee9180112000230b0dad5a6634220a243db89d,否,figures/F017.pdf
F018,第一问：S003载荷—能量可行边界,figures/F018.pdf,figures/F018.png,figures/F018.svg,results/closure/energy_curves_S003.csv,plot_data/F018.json,基于明确能耗假设的确定性曲线，不是额外现场实验,35809c4436697f2567f21b1ee010213496956e0fcec11695b3de444e892e8af7,否,figures/F018.pdf
F019,第一问：O01至S004沿线地形与净空,figures/F019.pdf,figures/F019.png,figures/F019.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F019.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,9effcf3cd6b4985ee0780543173033271e2aa5adf7a5a2b675b5f73351439ae9,否,figures/F019.pdf
F020,第一问：S004载荷—能量可行边界,figures/F020.pdf,figures/F020.png,figures/F020.svg,results/closure/energy_curves_S004.csv,plot_data/F020.json,基于明确能耗假设的确定性曲线，不是额外现场实验,3e6104e25bce49b0ba5d91fc06492e5b096adad10b1faa1260313aa89fedd79e,否,figures/F020.pdf
F021,第一问：O01至S005沿线地形与净空,figures/F021.pdf,figures/F021.png,figures/F021.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F021.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,dfbd0f7ef214b5bb9635ff072c86ab4ddb9130fe500addaf7d5b0f6e9482879a,否,figures/F021.pdf
F022,第一问：S005载荷—能量可行边界,figures/F022.pdf,figures/F022.png,figures/F022.svg,results/closure/energy_curves_S005.csv,plot_data/F022.json,基于明确能耗假设的确定性曲线，不是额外现场实验,176d6889bdaabc410f1382b1a1d2ba583f81e13dff157aacd21e30df9606c681,否,figures/F022.pdf
F023,第一问：O01至S006沿线地形与净空,figures/F023.pdf,figures/F023.png,figures/F023.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F023.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,cf318ac428955c80516a2cbfcc93d32b323ef30e1e68d73749e67a5c7f83e31c,否,figures/F023.pdf
F024,第一问：S006载荷—能量可行边界,figures/F024.pdf,figures/F024.png,figures/F024.svg,results/closure/energy_curves_S006.csv,plot_data/F024.json,基于明确能耗假设的确定性曲线，不是额外现场实验,0ca588d024daa25a136b33099514401b84331bb765a96e32c73a0c6767503c7e,否,figures/F024.pdf
F025,第一问：O01至S007沿线地形与净空,figures/F025.pdf,figures/F025.png,figures/F025.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F025.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,3f891e5677e2daca56794a80735067932692ea91428dbabcbbf5f8daae093bc0,否,figures/F025.pdf
F026,第一问：S007载荷—能量可行边界,figures/F026.pdf,figures/F026.png,figures/F026.svg,results/closure/energy_curves_S007.csv,plot_data/F026.json,基于明确能耗假设的确定性曲线，不是额外现场实验,a72604e10a6e0344085409e713b5aef6b9a3f7020503aba5db67cf52bc6cf6c7,否,figures/F026.pdf
F027,第一问：O01至S008沿线地形与净空,figures/F027.pdf,figures/F027.png,figures/F027.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F027.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,0ccef55729ed1ae686a4fce03189d999720f857193650e8d88c553a0af291b98,是,figures/F027.pdf
F028,第一问：瓶颈区域S008地形剖面,figures/F028.pdf,figures/F028.png,figures/F028.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F028.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,3518afe7e72c385feadf34ce6fc9b8325834ea90b8e6fdde63841df032322866,否,figures/F028.pdf
F029,第一问：S008载荷—能量可行边界,figures/F029.pdf,figures/F029.png,figures/F029.svg,results/closure/energy_curves_S008.csv,plot_data/F029.json,基于明确能耗假设的确定性曲线，不是额外现场实验,0858dd881f45fde70c54a7d7dd15c387e033b4e4c57f198ad85b93b5497c236e,否,figures/F029.pdf
F030,第一问：O01至S009沿线地形与净空,figures/F030.pdf,figures/F030.png,figures/F030.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F030.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,8730a94a252903d5edf0ae1c1fc1af0b174f4e133c2aff40028b25f973fa3bd7,否,figures/F030.pdf
F031,第一问：S009载荷—能量可行边界,figures/F031.pdf,figures/F031.png,figures/F031.svg,results/closure/energy_curves_S009.csv,plot_data/F031.json,基于明确能耗假设的确定性曲线，不是额外现场实验,3e1c9d5e070dfa56c6e97c572d8d297896ed055aa32a72c4f4b36337e5b1ace3,否,figures/F031.pdf
F032,第一问：O01至S010沿线地形与净空,figures/F032.pdf,figures/F032.png,figures/F032.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F032.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,a09d1495fd1027c00ba0c8e7cf63f152dbfa43c28cfb98fabed3a2a6dd1260a7,否,figures/F032.pdf
F033,第一问：S010载荷—能量可行边界,figures/F033.pdf,figures/F033.png,figures/F033.svg,results/closure/energy_curves_S010.csv,plot_data/F033.json,基于明确能耗假设的确定性曲线，不是额外现场实验,2623fded00a4b5fd81ee6686d9f09501d8c9a8229654ed9f194057d6a1d8c91e,否,figures/F033.pdf
F034,第一问：O01至S011沿线地形与净空,figures/F034.pdf,figures/F034.png,figures/F034.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F034.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,9100b7473a654de515a4f5cab62ef1eab5cc799e8ab0058019a8c81b49bd6d9e,否,figures/F034.pdf
F035,第一问：S011载荷—能量可行边界,figures/F035.pdf,figures/F035.png,figures/F035.svg,results/closure/energy_curves_S011.csv,plot_data/F035.json,基于明确能耗假设的确定性曲线，不是额外现场实验,b5d44ec598eb4ea547651a7744ae5fa18a7a271513941fc412817285f858db69,否,figures/F035.pdf
F036,第一问：O01至S012沿线地形与净空,figures/F036.pdf,figures/F036.png,figures/F036.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F036.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,fafd3eb78664a48952c8619e7f14057be92747a71357a2bc0f35ee60b910125b,否,figures/F036.pdf
F037,第一问：S012载荷—能量可行边界,figures/F037.pdf,figures/F037.png,figures/F037.svg,results/closure/energy_curves_S012.csv,plot_data/F037.json,基于明确能耗假设的确定性曲线，不是额外现场实验,ad0d2ef6a7a7fbc8bd2c0b7a8477d799ab04e2379c7dbc11ee9c38a89ed704c4,否,figures/F037.pdf
F038,第一问：O01至S013沿线地形与净空,figures/F038.pdf,figures/F038.png,figures/F038.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F038.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,7de797b16539a611912e8f9a6ea5dd768c91bf99a97bebab9f3e62b677df8f01,否,figures/F038.pdf
F039,第一问：S013载荷—能量可行边界,figures/F039.pdf,figures/F039.png,figures/F039.svg,results/closure/energy_curves_S013.csv,plot_data/F039.json,基于明确能耗假设的确定性曲线，不是额外现场实验,808f7c57dd0f7f4e1e5d113f27405e00cea8505cff33877ae38a2da123523724,否,figures/F039.pdf
F040,第一问：O01至S014沿线地形与净空,figures/F040.pdf,figures/F040.png,figures/F040.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F040.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,269bf00d12429cb5a0a081ff612832aab08acc9b827b54f482907b2a58ea4e0e,否,figures/F040.pdf
F041,第一问：S014载荷—能量可行边界,figures/F041.pdf,figures/F041.png,figures/F041.svg,results/closure/energy_curves_S014.csv,plot_data/F041.json,基于明确能耗假设的确定性曲线，不是额外现场实验,566d07b4271a70a6e1727773ca69df96e19c21cedc571353a8d4d43cb9fe9c34,否,figures/F041.pdf
F042,第一问：O01至S015沿线地形与净空,figures/F042.pdf,figures/F042.png,figures/F042.svg,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,plot_data/F042.json,当前主方案的诊断视图；不另算一次独立实验；阶梯保留像元峰值，不平滑地形。,030831f47b91cb440dca937df848dcec35a10893cea65cc980306ccaeb5b2f68,否,figures/F042.pdf
F043,第一问：S015载荷—能量可行边界,figures/F043.pdf,figures/F043.png,figures/F043.svg,results/closure/energy_curves_S015.csv,plot_data/F043.json,基于明确能耗假设的确定性曲线，不是额外现场实验,c9f2a11c2ac20cca0938fbc3131d692c7936bfdeb5951add0efb659e29957bde,否,figures/F043.pdf
F044,第一问：A型连续上限与现有整箱可实现载荷,figures/F044.pdf,figures/F044.png,figures/F044.svg,results/q1/payload_continuous_discrete.csv,plot_data/F044.json,当前主方案的诊断视图；不另算一次独立实验,74baa21277afd6f2fdcc1bb9bfec904096fab004732260989d3297f2e88b6aeb,否,figures/F044.pdf
F045,第一问：B型连续上限与现有整箱可实现载荷,figures/F045.pdf,figures/F045.png,figures/F045.svg,results/q1/payload_continuous_discrete.csv,plot_data/F045.json,当前主方案的诊断视图；不另算一次独立实验,0d96a196d662c3a5c4998452b7b90800994090b3965e84a59751a1b57aa11390,否,figures/F045.pdf
F046,第一问：S008三机型载荷约束分解,figures/F046.pdf,figures/F046.png,figures/F046.svg,results/q1/payload_continuous_discrete.csv,plot_data/F046.json,从完整45组数据中选择正文明确讨论的瓶颈服务区S008三组；完整数值保留于表6与源数据；从45组服务区×机型数据中选择正文明确讨论的瓶颈服务区S008三组，完整45组仍保留于表6与源数据。,9407d32d6a5aae8a5f36e6bea798fb0a2cde16a97b37784965e4c4f2b0fced89,是,figures/F046.pdf
F047,第一问：三种时间口径的组成,figures/F047.pdf,figures/F047.png,figures/F047.svg,results/q1/batches_NET.csv,plot_data/F047.json,当前主方案的诊断视图；不另算一次独立实验,a92f4a0628342f6a6bec19c09362cf67ea511412447e92f5250f6d08eaf90235,否,figures/F047.pdf
F048,第一问：能耗分项假设扰动后重新优化,figures/F048.pdf,figures/F048.png,figures/F048.svg,results/q1/energy_assumption_sensitivity.csv,plot_data/F048.json,当前主方案的诊断视图；柱高由源表聚合,2d5f32b9c2637df71ef4140bfc264f78b51e81138f3f6e4095368c026efcadaf,否,figures/F048.pdf
F049,Q2：26架次运输航线与节点,figures/F049.pdf,figures/F049.png,figures/F049.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q2/trips.csv,plot_data/F049.json,当前主方案的诊断视图；不另算一次独立实验,25aad7ae0d8bf76fc535fdc8221262000a320dd2ba1ecaf9a2c11f96311a962d,是,figures/F049.pdf
F050,Q2：运输无人机占用时序,figures/F050.pdf,figures/F050.png,figures/F050.svg,results/q2/trips.csv,plot_data/F050.json,当前主方案的诊断视图；不另算一次独立实验,fb5fc71e3fb32850395cba3684c72b2dfefda1ba420f657b202e58abe060cee5,是,figures/F050.pdf
F051,Q2：共享电池任务与充电时序,figures/F051.pdf,figures/F051.png,figures/F051.svg,results/q2/battery_cycles.csv,plot_data/F051.json,当前主方案的诊断视图；不另算一次独立实验,d17f291bb4eea5c49c373816c8c6a1033454a0d145783b061fb3ff2c740ca0ab,是,figures/F051.pdf
F052,Q2：医疗及首批保障货箱硬时限,figures/F052.pdf,figures/F052.png,figures/F052.svg,results/q2/box_deliveries.csv,plot_data/F052.json,当前主方案的诊断视图；不另算一次独立实验；逐箱排序与完整箱号见本图数据文件。,4e330a9bd07ff6ada415930c345ab13f494895dfcd4a9562b28e4ebd3786a296,否,figures/F052.pdf
F053,Q2：实算备选方案的时间与能耗,figures/F053.pdf,figures/F053.png,figures/F053.svg,results/q2/scenario_comparison.csv,plot_data/F053.json,圆点为本问可行备选；叉号为硬时限不合格对照。同坐标标签合并，下游可分区性须另外检查；不是全局帕累托前沿,f2c3262a2e46cef8ecf0b048d78e4b6978ca8b13778fbd78ac73d938444cde69,是,figures/F053.pdf
F054,Q2：逐架次返航安全余量,figures/F054.pdf,figures/F054.png,figures/F054.svg,results/q2/trips.csv,plot_data/F054.json,当前主方案的诊断视图；不另算一次独立实验,a61650a284f9fe176f3852cfe7971f2ee853acc399ae15551a2041176ef717f5,否,figures/F054.pdf
F055,Q2：全部货箱累计交付进度,figures/F055.pdf,figures/F055.png,figures/F055.svg,results/q2/box_deliveries.csv,plot_data/F055.json,当前主方案的诊断视图；不另算一次独立实验,0c525cb15f01beb5f297ccc08126d7cab8748f22731ba846b4396a8d3df37792,否,figures/F055.pdf
F056,Q2：A型无人机运输路线,figures/F056.pdf,figures/F056.png,figures/F056.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q2/trips.csv,plot_data/F056.json,当前主方案的诊断视图；不另算一次独立实验,99e88c5e04220eb0c67533ee2c73bbe97d5d462cb0cbc36bb996d0e41ba098f0,否,figures/F056.pdf
F057,Q2：B型无人机运输路线,figures/F057.pdf,figures/F057.png,figures/F057.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q2/trips.csv,plot_data/F057.json,当前主方案的诊断视图；不另算一次独立实验,a26b84be1044b91c1fc7c70417826135d1c6a66d652c77cce7f408db96a2d8c1,否,figures/F057.pdf
F058,Q2：C型无人机运输路线,figures/F058.pdf,figures/F058.png,figures/F058.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q2/trips.csv,plot_data/F058.json,当前主方案的诊断视图；不另算一次独立实验,83dbcf5fbfaf0f562b7fb26b2bebe8a9fc7db26ea1aad70f29245aa90a40f811,否,figures/F058.pdf
F059,Q2：各服务区最紧硬时限裕度,figures/F059.pdf,figures/F059.png,figures/F059.svg,results/q2/box_deliveries.csv,plot_data/F059.json,当前主方案的诊断视图；柱高由源表聚合,39630bba7b349040e57546b618a06c951084c50101b51d7b9df739e34c5b644a,否,figures/F059.pdf
F060,Q2：载质量与装载体积利用率,figures/F060.pdf,figures/F060.png,figures/F060.svg,data/cleaned/model_inputs.json;results/q2/trips.csv,plot_data/F060.json,当前主方案的诊断视图；不另算一次独立实验,72dfe1e2061fe0a1a866df29b02096e2aa0f4161bbf0ced19ed8bdaead951aa8,否,figures/F060.pdf
F061,Q2：逐航段汇总的运输能耗分项,figures/F061.pdf,figures/F061.png,figures/F061.svg,results/q2/legs.csv;results/q2/trips.csv,plot_data/F061.json,当前主方案的诊断视图；不另算一次独立实验,81b1fc915834a4ccc2ba7fc88eb58f4e6289b5ab654da6bb80b9586afe5dd739,否,figures/F061.pdf
F062,Q2：分机型累计作业与纯飞行时间,figures/F062.pdf,figures/F062.png,figures/F062.svg,results/q2/trips.csv,plot_data/F062.json,当前主方案的诊断视图；不另算一次独立实验,ad913a0af854b2edeb57db67a30f31c302b742513b95f100a959156c66ce056c,否,figures/F062.pdf
F063,Q3：25架次运输航线与节点,figures/F063.pdf,figures/F063.png,figures/F063.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q3/relay_sorties.csv;results/q3/trips.csv,plot_data/F063.json,当前主方案的诊断视图；不另算一次独立实验,fe0427a39e56710df55590bfc96b87d1d78704fe860500a985851b963395c3db,是,figures/F063.pdf
F064,Q3：运输无人机占用时序,figures/F064.pdf,figures/F064.png,figures/F064.svg,results/q3/trips.csv,plot_data/F064.json,当前主方案的诊断视图；不另算一次独立实验,669b5416a6b119b6201334abf62fef5958d508442fcf14b2e85feefd65c946b9,是,figures/F064.pdf
F065,Q3：共享电池任务与充电时序,figures/F065.pdf,figures/F065.png,figures/F065.svg,results/q3/battery_cycles.csv,plot_data/F065.json,当前主方案的诊断视图；不另算一次独立实验,35652bc10a25aa220c810b04f99641fc618513879b196f50c3d7ef4e8c997d56,否,figures/F065.pdf
F066,Q3：医疗及首批保障货箱硬时限,figures/F066.pdf,figures/F066.png,figures/F066.svg,results/q3/box_deliveries.csv,plot_data/F066.json,当前主方案的诊断视图；不另算一次独立实验；逐箱排序与完整箱号见本图数据文件。,20145469a11b30804083d7fcba1464d775dd91b8bb38e01e8eba5244943b7ea1,否,figures/F066.pdf
F067,Q3：实算备选方案的时间与能耗,figures/F067.pdf,figures/F067.png,figures/F067.svg,results/q3/scenario_comparison.csv,plot_data/F067.json,圆点为本问可行备选；叉号为硬时限不合格对照。同坐标标签合并，下游可分区性须另外检查；不是全局帕累托前沿,f1eaf2b1694be435e3e9fd772c21bded44f6532740a86a552761762cfd7e2955,否,figures/F067.pdf
F068,Q3：逐架次返航安全余量,figures/F068.pdf,figures/F068.png,figures/F068.svg,results/q3/trips.csv,plot_data/F068.json,当前主方案的诊断视图；不另算一次独立实验,d778fe7840a829bf224f84183ddf0034027c52149dec3bd32b2c9f8f743f60d1,否,figures/F068.pdf
F069,Q3：全部货箱累计交付进度,figures/F069.pdf,figures/F069.png,figures/F069.svg,results/q3/box_deliveries.csv,plot_data/F069.json,当前主方案的诊断视图；不另算一次独立实验,533905dc88b9428b0afeb6723bd17754ac6b9b80d9de0844801da630cd424cee,否,figures/F069.pdf
F070,Q3：A型无人机运输路线,figures/F070.pdf,figures/F070.png,figures/F070.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q3/trips.csv,plot_data/F070.json,当前主方案的诊断视图；不另算一次独立实验,a67e166f184d7cca2b0088b66f224d42e8b8a9a51049ebe67726f1db2faa57a8,否,figures/F070.pdf
F071,Q3：B型无人机运输路线,figures/F071.pdf,figures/F071.png,figures/F071.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q3/trips.csv,plot_data/F071.json,当前主方案的诊断视图；不另算一次独立实验,fd9f7340ecf4a5b584ec272d13a54a760139afe6c86a442cb5d4f4c07bd8c570,否,figures/F071.pdf
F072,Q3：C型无人机运输路线,figures/F072.pdf,figures/F072.png,figures/F072.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q3/trips.csv,plot_data/F072.json,当前主方案的诊断视图；不另算一次独立实验,64f2fa9fbc817bb8c32a2edcd7324a4806c308e11686d81021e30b54b6791be1,否,figures/F072.pdf
F073,Q3：各服务区最紧硬时限裕度,figures/F073.pdf,figures/F073.png,figures/F073.svg,results/q3/box_deliveries.csv,plot_data/F073.json,当前主方案的诊断视图；柱高由源表聚合,fd980b27e0635ed515cc8e8c5e9a9e7841b9caea46a8bfe1b204aaae09f4d46f,否,figures/F073.pdf
F074,Q3：载质量与装载体积利用率,figures/F074.pdf,figures/F074.png,figures/F074.svg,data/cleaned/model_inputs.json;results/q3/trips.csv,plot_data/F074.json,当前主方案的诊断视图；不另算一次独立实验,8e05f8b6085051d4139be726817454b83702cbc8935411969810d907de0e6abd,否,figures/F074.pdf
F075,Q3：逐航段汇总的运输能耗分项,figures/F075.pdf,figures/F075.png,figures/F075.svg,results/q3/legs.csv;results/q3/trips.csv,plot_data/F075.json,当前主方案的诊断视图；不另算一次独立实验,59f0d3efe8ab5814642520b80913cecce71f71c4fc6d97c4c1d44b63cd2e2175,否,figures/F075.pdf
F076,Q3：分机型累计作业与纯飞行时间,figures/F076.pdf,figures/F076.png,figures/F076.svg,results/q3/trips.csv,plot_data/F076.json,当前主方案的诊断视图；不另算一次独立实验,858862e2eb334f6fd2b370e9f977e4351358725a034144273def083948b75352,否,figures/F076.pdf
F077,第二问：固定搜索预算下的收敛轨迹,figures/F077.pdf,figures/F077.png,figures/F077.svg,results/q2/direct_only_search_rounds.csv;results/q2/multipoint_search_rounds.csv,plot_data/F077.json,多次轮次为同一次顺序改进，不能当作独立重复试验,548e9e632e5de69f8ebe770732e2dae112c69b42cb15d0dc8e11f177c4cb606c,是,figures/F077.pdf
F078,第三问：中继无人机任务及周转,figures/F078.pdf,figures/F078.png,figures/F078.svg,results/q3/relay_sorties.csv,plot_data/F078.json,当前主方案的诊断视图；不另算一次独立实验,d63382942063e9f0fd807d1acc0ed6d3fbce57d7ba4adb109224de6c99504af0,是,figures/F078.pdf
F079,第三问：中继能源组件及两阶段充电,figures/F079.pdf,figures/F079.png,figures/F079.svg,results/q3/relay_sorties.csv,plot_data/F079.json,当前主方案的诊断视图；不另算一次独立实验,43da2caad0e62a88ec5ffbb25a93ef00e3e34f079cb140d5491aedbbc8fe41ca,是,figures/F079.pdf
F080,第三问：Q3-R-001完整飞行及服务剖面,figures/F080.pdf,figures/F080.png,figures/F080.svg,data/cleaned/model_inputs.json;results/q3/relay_sorties.csv,plot_data/F080.json,当前主方案的诊断视图；不另算一次独立实验,4f5e9aca7da1686f142ba5b05ed24bca2f4a763d3317c986a83847ff620e5f4b,否,figures/F080.pdf
F081,第三问：Q3-R-002完整飞行及服务剖面,figures/F081.pdf,figures/F081.png,figures/F081.svg,data/cleaned/model_inputs.json;results/q3/relay_sorties.csv,plot_data/F081.json,当前主方案的诊断视图；不另算一次独立实验,6c86cb5ff023f13fa71c0efb2ee4134d306be2df598f5c5d4abd3ab62d7f9ec9,否,figures/F081.pdf
F082,第三问：Q3-R-003完整飞行及服务剖面,figures/F082.pdf,figures/F082.png,figures/F082.svg,data/cleaned/model_inputs.json;results/q3/relay_sorties.csv,plot_data/F082.json,当前主方案的诊断视图；不另算一次独立实验,a4880d0f3d766bc6f3948751dce6db8264cffcf560e7ecc56e76ab0e3be22a32,是,figures/F082.pdf
