图号,中文图题,图文件,矢量PDF,数据源,绘图数值,说明
F020,第一问：S004载荷—能量可行边界,results/figures/q1/energy_curve_S004.png,results/figures/q1/energy_curve_S004.pdf,results/closure/energy_curves_S004.csv,paper/figure_data/q1__energy_curve_S004.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F021,第一问：O01至S005沿线地形与净空,results/figures/q1/terrain_S005.png,results/figures/q1/terrain_S005.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S005.json,当前主方案的诊断视图；不另算一次独立实验
F022,第一问：S005载荷—能量可行边界,results/figures/q1/energy_curve_S005.png,results/figures/q1/energy_curve_S005.pdf,results/closure/energy_curves_S005.csv,paper/figure_data/q1__energy_curve_S005.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F023,第一问：O01至S006沿线地形与净空,results/figures/q1/terrain_S006.png,results/figures/q1/terrain_S006.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S006.json,当前主方案的诊断视图；不另算一次独立实验
F024,第一问：S006载荷—能量可行边界,results/figures/q1/energy_curve_S006.png,results/figures/q1/energy_curve_S006.pdf,results/closure/energy_curves_S006.csv,paper/figure_data/q1__energy_curve_S006.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F025,第一问：O01至S007沿线地形与净空,results/figures/q1/terrain_S007.png,results/figures/q1/terrain_S007.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S007.json,当前主方案的诊断视图；不另算一次独立实验
F026,第一问：S007载荷—能量可行边界,results/figures/q1/energy_curve_S007.png,results/figures/q1/energy_curve_S007.pdf,results/closure/energy_curves_S007.csv,paper/figure_data/q1__energy_curve_S007.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F027,第一问：O01至S008沿线地形与净空,results/figures/q1/terrain_S008.png,results/figures/q1/terrain_S008.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S008.json,当前主方案的诊断视图；不另算一次独立实验
F028,第一问：瓶颈区域S008地形剖面,results/figures/12_route_terrain_profile.png,results/figures/12_route_terrain_profile.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/12_route_terrain_profile.json,当前主方案的诊断视图；不另算一次独立实验
F029,第一问：S008载荷—能量可行边界,results/figures/q1/energy_curve_S008.png,results/figures/q1/energy_curve_S008.pdf,results/closure/energy_curves_S008.csv,paper/figure_data/q1__energy_curve_S008.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F030,第一问：O01至S009沿线地形与净空,results/figures/q1/terrain_S009.png,results/figures/q1/terrain_S009.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S009.json,当前主方案的诊断视图；不另算一次独立实验
F031,第一问：S009载荷—能量可行边界,results/figures/q1/energy_curve_S009.png,results/figures/q1/energy_curve_S009.pdf,results/closure/energy_curves_S009.csv,paper/figure_data/q1__energy_curve_S009.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F032,第一问：O01至S010沿线地形与净空,results/figures/q1/terrain_S010.png,results/figures/q1/terrain_S010.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S010.json,当前主方案的诊断视图；不另算一次独立实验
F033,第一问：S010载荷—能量可行边界,results/figures/q1/energy_curve_S010.png,results/figures/q1/energy_curve_S010.pdf,results/closure/energy_curves_S010.csv,paper/figure_data/q1__energy_curve_S010.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F034,第一问：O01至S011沿线地形与净空,results/figures/q1/terrain_S011.png,results/figures/q1/terrain_S011.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S011.json,当前主方案的诊断视图；不另算一次独立实验
F035,第一问：S011载荷—能量可行边界,results/figures/q1/energy_curve_S011.png,results/figures/q1/energy_curve_S011.pdf,results/closure/energy_curves_S011.csv,paper/figure_data/q1__energy_curve_S011.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F036,第一问：O01至S012沿线地形与净空,results/figures/q1/terrain_S012.png,results/figures/q1/terrain_S012.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S012.json,当前主方案的诊断视图；不另算一次独立实验
F037,第一问：S012载荷—能量可行边界,results/figures/q1/energy_curve_S012.png,results/figures/q1/energy_curve_S012.pdf,results/closure/energy_curves_S012.csv,paper/figure_data/q1__energy_curve_S012.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F038,第一问：O01至S013沿线地形与净空,results/figures/q1/terrain_S013.png,results/figures/q1/terrain_S013.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S013.json,当前主方案的诊断视图；不另算一次独立实验
F039,第一问：S013载荷—能量可行边界,results/figures/q1/energy_curve_S013.png,results/figures/q1/energy_curve_S013.pdf,results/closure/energy_curves_S013.csv,paper/figure_data/q1__energy_curve_S013.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F040,第一问：O01至S014沿线地形与净空,results/figures/q1/terrain_S014.png,results/figures/q1/terrain_S014.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S014.json,当前主方案的诊断视图；不另算一次独立实验
F041,第一问：S014载荷—能量可行边界,results/figures/q1/energy_curve_S014.png,results/figures/q1/energy_curve_S014.pdf,results/closure/energy_curves_S014.csv,paper/figure_data/q1__energy_curve_S014.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F042,第一问：O01至S015沿线地形与净空,results/figures/q1/terrain_S015.png,results/figures/q1/terrain_S015.pdf,results/q1/route_dem_cells.csv;results/q1/route_geometry.csv,paper/figure_data/q1__terrain_S015.json,当前主方案的诊断视图；不另算一次独立实验
F043,第一问：S015载荷—能量可行边界,results/figures/q1/energy_curve_S015.png,results/figures/q1/energy_curve_S015.pdf,results/closure/energy_curves_S015.csv,paper/figure_data/q1__energy_curve_S015.json,基于明确能耗假设的确定性曲线，不是额外现场实验
F044,第一问：A型连续上限与现有整箱可实现载荷,results/figures/q1/payload_A.png,results/figures/q1/payload_A.pdf,results/q1/payload_continuous_discrete.csv,paper/figure_data/q1__payload_A.json,当前主方案的诊断视图；不另算一次独立实验
F045,第一问：B型连续上限与现有整箱可实现载荷,results/figures/q1/payload_B.png,results/figures/q1/payload_B.pdf,results/q1/payload_continuous_discrete.csv,paper/figure_data/q1__payload_B.json,当前主方案的诊断视图；不另算一次独立实验
F046,第一问：S008三机型载荷约束分解,results/figures/q1/payload_C.png,results/figures/q1/payload_C.pdf,results/q1/payload_continuous_discrete.csv,paper/figure_data/q1__payload_C.json,从完整45组数据中选择正文明确讨论的瓶颈服务区S008三组；完整数值保留于表6与源数据
F047,第一问：三种时间口径的组成,results/figures/q1/time_components.png,results/figures/q1/time_components.pdf,results/q1/batches_NET.csv,paper/figure_data/q1__time_components.json,当前主方案的诊断视图；不另算一次独立实验
F048,第一问：能耗分项假设扰动后重新优化,results/figures/q1/energy_assumptions.png,results/figures/q1/energy_assumptions.pdf,results/q1/energy_assumption_sensitivity.csv,paper/figure_data/q1__energy_assumptions.json,当前主方案的诊断视图；柱高由源表聚合
F049,Q2：26架次运输航线与节点,results/figures/q2_01_routes.png,results/figures/q2_01_routes.pdf,results/q2/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q2_01_routes.json,当前主方案的诊断视图；不另算一次独立实验
F050,Q2：运输无人机占用时序,results/figures/q2_02_drone_gantt.png,results/figures/q2_02_drone_gantt.pdf,results/q2/trips.csv,paper/figure_data/q2_02_drone_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F051,Q2：共享电池任务与充电时序,results/figures/q2_03_battery_gantt.png,results/figures/q2_03_battery_gantt.pdf,results/q2/battery_cycles.csv,paper/figure_data/q2_03_battery_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F052,Q2：医疗及首批保障货箱硬时限,results/figures/q2_04_hard_deadlines.png,results/figures/q2_04_hard_deadlines.pdf,results/q2/box_deliveries.csv,paper/figure_data/q2_04_hard_deadlines.json,当前主方案的诊断视图；不另算一次独立实验
F053,Q2：实算备选方案的时间与能耗,results/figures/q2_06_tradeoff.png,results/figures/q2_06_tradeoff.pdf,results/q2/scenario_comparison.csv,paper/figure_data/q2_06_tradeoff.json,圆点为本问可行备选；叉号为硬时限不合格对照。同坐标标签合并，下游可分区性须另外检查；不是全局帕累托前沿
F054,Q2：逐架次返航安全余量,results/figures/q2_07_return_soc.png,results/figures/q2_07_return_soc.pdf,results/q2/trips.csv,paper/figure_data/q2_07_return_soc.json,当前主方案的诊断视图；不另算一次独立实验
F055,Q2：全部货箱累计交付进度,results/figures/q2_08_delivery_progress.png,results/figures/q2_08_delivery_progress.pdf,results/q2/box_deliveries.csv,paper/figure_data/q2_08_delivery_progress.json,当前主方案的诊断视图；不另算一次独立实验
F056,Q2：A型无人机运输路线,results/figures/q2/routes_model_A.png,results/figures/q2/routes_model_A.pdf,results/q2/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q2__routes_model_A.json,当前主方案的诊断视图；不另算一次独立实验
F057,Q2：B型无人机运输路线,results/figures/q2/routes_model_B.png,results/figures/q2/routes_model_B.pdf,results/q2/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q2__routes_model_B.json,当前主方案的诊断视图；不另算一次独立实验
F058,Q2：C型无人机运输路线,results/figures/q2/routes_model_C.png,results/figures/q2/routes_model_C.pdf,results/q2/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q2__routes_model_C.json,当前主方案的诊断视图；不另算一次独立实验
F059,Q2：各服务区最紧硬时限裕度,results/figures/q2/box_slack.png,results/figures/q2/box_slack.pdf,results/q2/box_deliveries.csv,paper/figure_data/q2__box_slack.json,当前主方案的诊断视图；柱高由源表聚合
F060,Q2：载质量与装载体积利用率,results/figures/q2/load_usage.png,results/figures/q2/load_usage.pdf,results/q2/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q2__load_usage.json,当前主方案的诊断视图；不另算一次独立实验
F061,Q2：逐航段汇总的运输能耗分项,results/figures/q2/energy_components.png,results/figures/q2/energy_components.pdf,results/q2/legs.csv,paper/figure_data/q2__energy_components.json,当前主方案的诊断视图；不另算一次独立实验
F062,Q2：分机型累计作业与纯飞行时间,results/figures/q2/model_workload.png,results/figures/q2/model_workload.pdf,results/q2/trips.csv,paper/figure_data/q2__model_workload.json,当前主方案的诊断视图；不另算一次独立实验
F063,Q3：25架次运输航线与节点,results/figures/q3/q3_01_routes.png,results/figures/q3/q3_01_routes.pdf,results/q3/trips.csv;data/cleaned/model_inputs.json;results/q3/relay_sorties.csv,paper/figure_data/q3__q3_01_routes.json,当前主方案的诊断视图；不另算一次独立实验
F064,Q3：运输无人机占用时序,results/figures/q3/q3_02_drone_gantt.png,results/figures/q3/q3_02_drone_gantt.pdf,results/q3/trips.csv,paper/figure_data/q3__q3_02_drone_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F065,Q3：共享电池任务与充电时序,results/figures/q3/q3_03_battery_gantt.png,results/figures/q3/q3_03_battery_gantt.pdf,results/q3/battery_cycles.csv,paper/figure_data/q3__q3_03_battery_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F066,Q3：医疗及首批保障货箱硬时限,results/figures/q3/q3_04_hard_deadlines.png,results/figures/q3/q3_04_hard_deadlines.pdf,results/q3/box_deliveries.csv,paper/figure_data/q3__q3_04_hard_deadlines.json,当前主方案的诊断视图；不另算一次独立实验
F067,Q3：实算备选方案的时间与能耗,results/figures/q3/q3_06_tradeoff.png,results/figures/q3/q3_06_tradeoff.pdf,results/q3/scenario_comparison.csv,paper/figure_data/q3__q3_06_tradeoff.json,圆点为本问可行备选；叉号为硬时限不合格对照。同坐标标签合并，下游可分区性须另外检查；不是全局帕累托前沿
F068,Q3：逐架次返航安全余量,results/figures/q3/q3_07_return_soc.png,results/figures/q3/q3_07_return_soc.pdf,results/q3/trips.csv,paper/figure_data/q3__q3_07_return_soc.json,当前主方案的诊断视图；不另算一次独立实验
F069,Q3：全部货箱累计交付进度,results/figures/q3/q3_08_delivery_progress.png,results/figures/q3/q3_08_delivery_progress.pdf,results/q3/box_deliveries.csv,paper/figure_data/q3__q3_08_delivery_progress.json,当前主方案的诊断视图；不另算一次独立实验
F070,Q3：A型无人机运输路线,results/figures/q3/routes_model_A.png,results/figures/q3/routes_model_A.pdf,results/q3/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__routes_model_A.json,当前主方案的诊断视图；不另算一次独立实验
F071,Q3：B型无人机运输路线,results/figures/q3/routes_model_B.png,results/figures/q3/routes_model_B.pdf,results/q3/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__routes_model_B.json,当前主方案的诊断视图；不另算一次独立实验
F072,Q3：C型无人机运输路线,results/figures/q3/routes_model_C.png,results/figures/q3/routes_model_C.pdf,results/q3/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__routes_model_C.json,当前主方案的诊断视图；不另算一次独立实验
F073,Q3：各服务区最紧硬时限裕度,results/figures/q3/box_slack.png,results/figures/q3/box_slack.pdf,results/q3/box_deliveries.csv,paper/figure_data/q3__box_slack.json,当前主方案的诊断视图；柱高由源表聚合
F074,Q3：载质量与装载体积利用率,results/figures/q3/load_usage.png,results/figures/q3/load_usage.pdf,results/q3/trips.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__load_usage.json,当前主方案的诊断视图；不另算一次独立实验
F075,Q3：逐航段汇总的运输能耗分项,results/figures/q3/energy_components.png,results/figures/q3/energy_components.pdf,results/q3/legs.csv,paper/figure_data/q3__energy_components.json,当前主方案的诊断视图；不另算一次独立实验
F076,Q3：分机型累计作业与纯飞行时间,results/figures/q3/model_workload.png,results/figures/q3/model_workload.pdf,results/q3/trips.csv,paper/figure_data/q3__model_workload.json,当前主方案的诊断视图；不另算一次独立实验
F077,第二问：固定搜索预算下的收敛轨迹,results/figures/q2_05_convergence.png,results/figures/q2_05_convergence.pdf,results/q2/multipoint_search_rounds.csv;results/q2/direct_only_search_rounds.csv,paper/figure_data/q2_05_convergence.json,多次轮次为同一次顺序改进，不能当作独立重复试验
F078,第三问：中继无人机任务及周转,results/figures/q3/relay_body_gantt.png,results/figures/q3/relay_body_gantt.pdf,results/q3/relay_sorties.csv,paper/figure_data/q3__relay_body_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F079,第三问：中继能源组件及两阶段充电,results/figures/q3/relay_energy_gantt.png,results/figures/q3/relay_energy_gantt.pdf,results/q3/relay_sorties.csv,paper/figure_data/q3__relay_energy_gantt.json,当前主方案的诊断视图；不另算一次独立实验
F080,第三问：Q3-R-001完整飞行及服务剖面,results/figures/q3/relay_profile_Q3-R-001.png,results/figures/q3/relay_profile_Q3-R-001.pdf,results/q3/relay_sorties.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__relay_profile_Q3-R-001.json,当前主方案的诊断视图；不另算一次独立实验
F081,第三问：Q3-R-002完整飞行及服务剖面,results/figures/q3/relay_profile_Q3-R-002.png,results/figures/q3/relay_profile_Q3-R-002.pdf,results/q3/relay_sorties.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__relay_profile_Q3-R-002.json,当前主方案的诊断视图；不另算一次独立实验
F082,第三问：Q3-R-003完整飞行及服务剖面,results/figures/q3/relay_profile_Q3-R-003.png,results/figures/q3/relay_profile_Q3-R-003.pdf,results/q3/relay_sorties.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__relay_profile_Q3-R-003.json,当前主方案的诊断视图；不另算一次独立实验
F083,第三问：Q3-R-004完整飞行及服务剖面,results/figures/q3/relay_profile_Q3-R-004.png,results/figures/q3/relay_profile_Q3-R-004.pdf,results/q3/relay_sorties.csv;data/cleaned/model_inputs.json,paper/figure_data/q3__relay_profile_Q3-R-004.json,当前主方案的诊断视图；不另算一次独立实验
F084,第三问：Q3-T-001逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-001.png,results/figures/q3/transport_profile_Q3-T-001.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-001.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F085,第三问：Q3-T-002逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-002.png,results/figures/q3/transport_profile_Q3-T-002.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-002.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F086,第三问：Q3-T-003逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-003.png,results/figures/q3/transport_profile_Q3-T-003.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-003.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F087,第三问：Q3-T-004逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-004.png,results/figures/q3/transport_profile_Q3-T-004.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-004.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F088,第三问：Q3-T-005逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-005.png,results/figures/q3/transport_profile_Q3-T-005.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-005.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F089,第三问：Q3-T-006逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-006.png,results/figures/q3/transport_profile_Q3-T-006.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-006.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F090,第三问：Q3-T-007逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-007.png,results/figures/q3/transport_profile_Q3-T-007.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-007.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F091,第三问：Q3-T-008逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-008.png,results/figures/q3/transport_profile_Q3-T-008.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-008.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F092,第三问：Q3-T-009逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-009.png,results/figures/q3/transport_profile_Q3-T-009.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-009.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F093,第三问：Q3-T-010逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-010.png,results/figures/q3/transport_profile_Q3-T-010.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-010.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F094,第三问：Q3-T-011逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-011.png,results/figures/q3/transport_profile_Q3-T-011.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-011.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F095,第三问：Q3-T-012逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-012.png,results/figures/q3/transport_profile_Q3-T-012.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-012.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F096,第三问：Q3-T-013逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-013.png,results/figures/q3/transport_profile_Q3-T-013.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-013.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F097,第三问：Q3-T-014逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-014.png,results/figures/q3/transport_profile_Q3-T-014.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-014.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F098,第三问：Q3-T-015逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-015.png,results/figures/q3/transport_profile_Q3-T-015.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-015.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F099,第三问：Q3-T-016逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-016.png,results/figures/q3/transport_profile_Q3-T-016.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-016.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F100,第三问：Q3-T-017逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-017.png,results/figures/q3/transport_profile_Q3-T-017.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-017.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F101,第三问：Q3-T-018逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-018.png,results/figures/q3/transport_profile_Q3-T-018.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-018.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F102,第三问：Q3-T-019逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-019.png,results/figures/q3/transport_profile_Q3-T-019.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-019.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F103,第三问：Q3-T-020逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-020.png,results/figures/q3/transport_profile_Q3-T-020.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-020.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F104,第三问：Q3-T-021逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-021.png,results/figures/q3/transport_profile_Q3-T-021.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-021.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F105,第三问：Q3-T-022逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-022.png,results/figures/q3/transport_profile_Q3-T-022.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-022.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
F106,第三问：Q3-T-023逐阶段高度剖面,results/figures/q3/transport_profile_Q3-T-023.png,results/figures/q3/transport_profile_Q3-T-023.pdf,results/q3/trajectory_phases.csv,paper/figure_data/q3__transport_profile_Q3-T-023.json,不同颜色区分连续阶段；交接为30米作业高度，不在区域地面停留
